,Unnamed: 0,customer_id,subscription_id,participant_age,marketing_channel,country_code,extra_draws_per_year,add_ons,failed_payments_12m,monthly_spend_estimated,donation_share_charity,web_sessions_90d_raw,service_contacts_12m,complaints_12m,lifetime_wins,campaign_cohort,treatment_sent_flag,offer_cost_eur,baseline_churn_risk_band,historic_revenue_12m,churned,revenue_next_12m_observed,subscription_month_length,ITE_variant_a,ITE_variant_b,variant_a_or_b
10,5436,0cfe3c931a81acba36,7c28a818c5f32533bf,73,referral,nl,2,2,0.0,24.89,49.0,3,2,0,0,control,0,0.0,low,394.31,1,250.81,100,-0.6000000000000001,-0.56,a
17,9672,43901482383126ddc7,f9a4824058f8adf3e2,26,tv,de,0,1,0.0,15.51,54.3,0,2,0,3,control,0,0.0,low,157.89,1,13.22,96,-0.6,-0.64,a
11,34450,73907fed82d21d4b37,2e893fa339c7631d2e,86,direct mail,gb,0,0,1.0,15.44,37.5,12,0,0,0,control,0,0.0,medium,149.18,1,14.47,40,-0.6,-0.61,a
16,19845,92e9ee85b2a0843ab8,a5c517d81ec9c9504c,73,television,de,1,2,0.0,23.64,59.0,5,1,0,2,control,0,0.0,low,299.12,1,110.19,59,-0.6,-0.57,a
12,18203,f65454346463d95c4a,414746fc9058c3d3cc,83,television,gb,0,1,0.0,22.92,40.0,13,3,0,0,control,0,0.0,high,251.51,1,85.47,87,-0.6,-0.41,a
13,12625,d9376cb84f00869b10,222c1b4580c570aa4a,32,tv,gb,2,1,1.0,14.85,32.0,2,0,0,15,control,0,0.0,high,179.08,1,178.49,88,-0.6,-0.3999999999999999,a
15,1215,c05c0c0aa89b97effe,e6414bcf81a466ceac,69,dm,gb,2,0,0.0,15.94,49.0,4,0,0,0,control,0,0.0,medium,198.5,1,75.32,157,-0.6,-0.3199999999999999,a
14,24973,d24110aad582c07b5b,922e04825c0ae0ec96,50,online paid,gb,2,1,2.0,14.75,54.0,7,0,0,0,variant_a,1,9.21,medium,172.31,0,188.1,108,-0.6,-0.2599999999999999,a
21,22405,2556424fdba043a8b2,dff69f9397889c83f0,49,dm,nl,0,0,0.0,16.75,69.0,10,0,0,15,control,0,0.0,very high,220.23,1,178.29,48,-0.5900000000000001,-0.7100000000000001,a
20,14445,c94faaa101a638cffe,4067036a24f80fd2ef,38,direct mail,de,2,0,0.0,13.62,69.0,13,2,1,14,control,0,0.0,very high,223.17,1,123.42,141,-0.5900000000000001,-0.68,a
18,25961,c6bb5b7c76d884e6ee,0195ed6e45b1b2ea10,78,referral,nl,0,1,0.0,18.51,39.7,14,1,0,0,control,0,0.0,medium,215.21,1,172.53,48,-0.5900000000000001,-0.56,a
22,24952,19bcaf989e32ed60b5,2aabd7d4573a61b119,88,door-to-door,de,0,2,0.0,19.69,54.0,4,0,0,3,control,0,0.0,high,266.48,1,179.86,60,-0.5900000000000001,-0.51,a
24,21336,39e947eb63c8bac0a9,6808242abdda899804,41,television,de,2,0,0.0,17.62,41.0,11,1,0,0,control,0,0.0,very high,220.24,1,22.91,152,-0.5900000000000001,-0.51,a
19,27384,2e3d6c85a5e586f5d7,9e0c4314a75334b853,76,dm,de,0,0,0.0,16.35,58.0,1,3,0,0,control,0,0.0,medium,182.02,1,139.93,112,-0.5900000000000001,-0.49,a
23,30010,5ea1e18a88ae601829,38add8e05aa9cc10ea,20,dm,no,1,0,1.0,16.86,49.0,5,0,0,0,control,0,0.0,low,258.5,1,37.56,73,-0.5900000000000001,-0.49,a
29,24025,53e232bcc4a6386499,dea91d6ddc0eb881d9,87,online paid,nl,2,0,0.0,17.64,52.0,8,0,0,0,control,0,0.0,medium,240.79,1,92.26,48,-0.59,-0.6599999999999999,a
30,26886,ae4dba1743cc6d4412,e128b879bb9bc94f0b,55,door-to-door,de,2,0,0.0,16.94,55.0,3,1,0,0,control,0,0.0,medium,226.02,1,34.09,36,-0.59,-0.63,a
27,33619,dc70227a7d9df5f27f,947f4b24c8b65a2ce4,75,door-to-door,se,0,2,1.0,25.84,64.0,8,0,1,13,control,0,0.0,medium,298.67,1,242.2,81,-0.59,-0.6299999999999999,a
28,29459,eca85870ec8b6d70a8,b57e8240ec17a5a3c0,52,referral,de,2,0,0.0,17.57,65.0,4,0,1,15,control,0,0.0,medium,267.94,1,53.73,110,-0.59,-0.6199999999999999,a
25,28639,330bb1faa22252b4be,683685fb6bdbe82f8e,31,television,se,0,0,0.0,14.12,51.0,12,0,0,0,control,0,0.0,very high,174.61,1,174.31,31,-0.59,-0.5700000000000001,a
31,34062,da072f3478f3b06a78,2f72bed24d5e5f3ff5,41,door-to-door,gb,1,2,1.0,22.58,47.0,1,0,0,6,control,0,0.0,low,317.34,1,194.14,24,-0.59,-0.4899999999999999,a
26,31543,72d7e3b85700ddfd5f,8a6b96af9bc26be081,24,referral,no,0,2,2.0,21.03,37.0,8,0,0,8,variant_a,1,9.49,high,232.4,0,300.19,126,-0.59,-0.3,a
32,27129,9b2946207cfe91ad1c,75c3ed9628b65e7d45,20,tv,gb,0,2,0.0,23.21,39.0,8,0,0,4,control,0,0.0,high,260.26,1,216.07,106,-0.5800000000000001,-0.63,a
34,12888,d59721f6efe2a4c586,8c93957c9007b930af,34,referral,no,1,1,1.0,20.28,30.0,1,1,1,0,control,0,0.0,low,235.12,1,24.11,38,-0.5800000000000001,-0.61,a
33,23073,f8c28d67e9d2c4d82c,9ca64d845bb860e57d,70,referral,no,2,1,0.0,21.72,56.0,9,0,0,0,control,0,0.0,medium,328.3,1,187.63,27,-0.5800000000000001,-0.53,a
35,12422,dfa54381225d763cc2,e92f49a9e6b78773c4,53,referral,no,0,0,1.0,19.16,40.8,6,1,1,0,control,0,0.0,low,242.73,1,241.22,38,-0.58,-0.66,a
39,10366,2e6167426b4b6a4c27,aae520ce7fdd7382b2,49,dm,nl,0,0,0.0,16.09,68.0,2,1,0,7,control,0,0.0,medium,174.62,1,141.63,124,-0.58,-0.6399999999999999,a
37,25182,e619f7a17016c62600,f70499947509aac45b,35,online paid,no,1,0,0.0,14.24,46.5,0,0,0,0,control,0,0.0,medium,172.99,1,98.41,74,-0.58,-0.3999999999999999,a
38,34313,33807476351b4d1295,f9baf7dcb5b77959fb,27,dm,no,0,0,2.0,16.56,44.0,14,0,0,0,variant_a,1,5.74,high,208.9,0,181.92,25,-0.58,-0.39,a
36,18853,71416c0cccf03457e0,93f5cef0f080b3b0e1,49,television,no,2,1,2.0,17.31,36.0,3,0,0,0,variant_a,1,14.49,medium,191.71,0,226.13,112,-0.58,-0.03,a
44,11039,e1c3542ba77f0ee225,97b502b35cf0b675b6,23,referral,no,0,1,1.0,17.49,68.3,14,1,0,13,control,0,0.0,high,190.25,1,68.35,29,-0.5700000000000001,-0.73,a
40,22885,6100b117ea6245ad33,9b1f9e3ac55460ce1d,55,television,gb,0,1,1.0,16.52,68.0,14,1,0,13,control,0,0.0,high,169.88,1,16.8,47,-0.5700000000000001,-0.71,a
46,11839,d8f5b4e765e49ddc45,fe06b93243b1ce3c5d,50,television,nl,0,1,0.0,17.02,38.9,9,1,0,0,control,0,0.0,high,200.14,1,145.23,35,-0.5700000000000001,-0.61,a
42,28207,4586d6d0f6e8aa1296,2884d1992fa45d0d07,85,door-to-door,de,0,0,1.0,19.11,54.0,0,2,1,8,control,0,0.0,medium,189.19,1,18.62,109,-0.5700000000000001,-0.6,a
41,30446,4b997c95a3cd22f4f5,9d542c5b73c95e7ed6,70,door-to-door,de,0,0,0.0,15.11,58.0,14,0,0,0,control,0,0.0,high,206.58,1,18.1,123,-0.5700000000000001,-0.4,a
43,19928,ff010d3f8d01254e46,d8cce97bec4aee3e7b,53,door-to-door,nl,0,0,1.0,19.53,49.0,5,0,0,0,control,0,0.0,medium,267.22,1,110.75,88,-0.5700000000000001,-0.4,a
45,8295,2fec3a0cbf3856fbcd,2a4e0461ffa106112f,75,door-to-door,se,0,1,0.0,20.2,69.0,7,0,0,0,control,0,0.0,medium,243.02,1,38.42,133,-0.5700000000000001,-0.32,a
52,30351,1a95a20ee480d3c53b,cf0acae8ec158337ae,75,referral,gb,2,0,1.0,14.3,55.0,10,0,0,0,control,0,0.0,low,160.85,1,227.45,23,-0.57,-0.6699999999999999,a
49,23750,a16b5a3c25b73ce4e3,e03699d720a073b403,48,dm,nl,0,1,0.0,16.96,47.0,5,0,0,0,control,0,0.0,medium,229.91,1,17.77,58,-0.57,-0.59,a
53,3920,fb4d66331c887d230d,4f7b72fdacac2fb0f8,81,door-to-door,de,0,0,1.0,18.81,49.0,1,1,0,10,control,0,0.0,very high,201.02,1,178.63,128,-0.57,-0.51,a
48,14628,ec56abf051ad304093,d31346c4b1fa0c15d0,75,online paid,nl,0,1,0.0,18.77,50.0,2,1,0,7,control,0,0.0,high,210.96,1,16.6,94,-0.57,-0.5,a
54,6131,6770b3cd18521ccaea,c6b7213fc2bff1a37c,78,referral,de,0,0,0.0,14.53,63.0,11,1,1,0,control,0,0.0,high,196.54,1,120.41,132,-0.57,-0.47,a
47,25439,0d382a5fec7012c843,a9fda6f72601af845c,68,dm,de,0,1,0.0,23.21,43.6,13,0,0,0,control,0,0.0,very high,237.37,1,204.62,78,-0.57,-0.4399999999999999,a
50,5547,25e2d0317e892210f0,9c26241f306b87a48c,67,referral,se,2,1,1.0,19.78,46.0,4,0,0,0,control,0,0.0,low,257.27,1,19.67,135,-0.57,-0.42,a
51,28876,fffe56994e6be69672,ccd8acfb4d0131f6d8,43,door-to-door,no,0,2,0.0,25.99,68.0,10,0,2,0,control,0,0.0,medium,283.99,1,45.53,103,-0.57,-0.3299999999999999,a
58,10548,dc35d16f1f21e67c18,9aa9a9366c64638956,51,online paid,nl,1,2,0.0,24.97,64.0,11,1,0,5,control,0,0.0,high,310.15,1,221.37,135,-0.56,-0.68,a
61,6808,98ecba69accf294459,44bcaf339c1153065b,18,referral,de,0,0,0.0,16.49,35.0,9,1,0,0,control,0,0.0,high,221.37,1,180.61,72,-0.56,-0.65,a
66,21678,5d36b2dba58acec55f,20b888171f90106eab,64,direct mail,de,0,0,0.0,16.97,41.5,2,1,0,6,control,0,0.0,low,238.27,1,152.17,39,-0.56,-0.6100000000000001,a
57,19053,3e2309f10cc986e761,a6eee786d31d1a34d4,59,referral,nl,0,1,0.0,17.55,64.0,1,0,1,1,control,0,0.0,medium,169.8,1,47.34,119,-0.56,-0.6000000000000001,a
68,29432,62b257077af83f9950,e22cde23b4ef702f86,47,referral,nl,2,0,0.0,15.76,34.0,14,0,0,1,control,0,0.0,very high,182.74,1,170.17,74,-0.56,-0.56,a
64,17448,12332c13b229f3147c,261dcb8a11f3f8111c,22,referral,gb,0,2,1.0,22.92,35.0,1,0,1,12,control,0,0.0,high,257.38,1,127.51,152,-0.56,-0.5,a
62,1023,4e506257166306736b,c51a3d8ed783d4e849,86,online paid,no,2,1,0.0,14.0,61.6,0,0,0,13,control,0,0.0,low,174.67,1,145.71,89,-0.56,-0.49,a
69,31289,3f259857748dc6c047,1365f8cd6734cd8925,70,door-to-door,de,0,0,0.0,14.25,43.0,4,0,0,14,control,0,0.0,very high,199.13,1,77.47,87,-0.56,-0.4600000000000001,a
59,3058,48c0b3cf0c62e40eef,869f1163aa44d3234b,44,door-to-door,gb,2,2,0.0,17.32,60.6,9,0,0,0,control,0,0.0,very high,196.29,1,170.92,68,-0.56,-0.45,a
70,35261,b0074757eb8e629f5a,a5419c1489067dd221,57,door-to-door,se,1,2,2.0,21.84,53.0,15,2,0,2,control,0,0.0,low,273.52,1,246.68,98,-0.56,-0.44,a
65,15756,db49d990bff2b2c5e1,3b53d55b4dfda36ae8,88,tv,no,0,2,1.0,25.8,51.0,4,0,0,13,control,0,0.0,high,322.22,1,30.11,62,-0.56,-0.42,a
55,22883,0d57b29242747d9e02,59719cd4ea5fdc4b86,36,referral,se,0,1,0.0,18.43,31.0,8,0,0,0,control,0,0.0,medium,215.58,1,149.43,80,-0.56,-0.39,a
60,26328,297e6e1f21723046a8,c67c29b9af254fbd61,70,online paid,gb,2,3,1.0,26.63,50.0,4,0,2,0,control,0,0.0,low,330.61,1,76.71,130,-0.56,-0.38,a
67,17383,b9e1596ee2ffd515d1,248c00aac292e1aef9,84,television,de,0,0,0.0,20.05,61.0,5,0,0,0,control,0,0.0,high,199.35,1,58.63,91,-0.56,-0.3,a
63,24283,cc56f342b0dc3f7402,d6ac8885648e17ab01,53,online paid,gb,0,1,1.0,17.37,45.0,0,0,0,0,variant_a,1,12.87,very high,219.91,0,196.85,146,-0.56,-0.03,a
56,29097,eb3c354696f801f7b2,c465c321575c1cc302,56,door-to-door,no,0,2,2.0,24.03,52.3,9,1,0,0,variant_a,1,15.3,low,306.74,0,249.39,146,-0.56,0.0599999999999999,a
74,12293,3467a9a96db4f23d5f,3f3fc4f6baceff19a6,52,tv,se,2,0,0.0,17.51,44.0,4,1,0,8,control,0,0.0,low,267.14,1,208.65,147,-0.5599999999999999,-0.6599999999999999,a
71,30754,913c130aa3a3e9780e,a9b1c90b6f3ada3939,33,door-to-door,no,0,0,0.0,14.78,38.2,0,0,0,11,control,0,0.0,low,203.78,1,87.15,135,-0.5599999999999999,-0.6399999999999999,a
73,34553,acc4ba4eec87758e9b,4849324b6b951feff4,64,dm,gb,1,1,0.0,23.2,49.0,1,1,0,8,control,0,0.0,low,255.5,1,22.28,24,-0.5599999999999999,-0.6399999999999999,a
75,2500,c928d86ff00aeb89a3,38ad207a3150f41b5c,84,door-to-door,no,2,0,1.0,14.66,33.0,4,1,0,0,control,0,0.0,low,200.82,1,145.04,51,-0.5599999999999999,-0.5199999999999999,a
72,22489,fa1d8223da871d94d7,457b171a287d1e923e,31,door-to-door,no,0,0,0.0,14.69,66.0,5,1,0,0,control,0,0.0,low,154.71,1,49.27,60,-0.5599999999999999,-0.4999999999999999,a
80,3243,91fd7b300a09c5d358,806ce9517b4034f8da,23,door-to-door,nl,0,1,0.0,19.4,61.9,2,0,1,10,control,0,0.0,medium,262.72,1,80.92,119,-0.55,-0.65,a
87,9827,bad815642779b6e483,9e7eb1395996e0941a,24,referral,nl,0,0,0.0,19.59,45.0,3,1,0,15,control,0,0.0,high,259.02,1,166.38,105,-0.55,-0.64,a
76,9565,6876925aadb300b04d,73166006522ed7f51e,74,door-to-door,nl,2,0,0.0,16.61,46.0,1,0,1,7,control,0,0.0,high,212.71,1,166.12,131,-0.55,-0.5,a
79,20317,abbb92ad6196c20ae4,4f81e18035f0dbe3d8,38,direct mail,de,2,0,0.0,15.6,46.0,5,1,0,0,control,0,0.0,medium,175.78,1,105.45,52,-0.55,-0.48,a
86,32695,4dc8bfef8d7d1b17d0,38825f2b43f7928fd9,84,door-to-door,se,0,1,1.0,15.99,38.0,0,0,0,11,control,0,0.0,very high,173.82,1,18.89,48,-0.55,-0.44,a
83,13362,3b219f3b7e193f60d4,c3b2faa0279a03e528,89,online paid,de,1,0,1.0,14.52,57.9,0,0,0,0,control,0,0.0,medium,208.82,1,64.19,141,-0.55,-0.43,a
90,33565,0d8a89515fe89cd53c,e3912f2f75ffae03b1,57,referral,de,2,1,2.0,21.29,35.7,15,0,0,6,control,0,0.0,high,235.42,1,255.02,127,-0.55,-0.43,a
81,7572,666448e909901d786f,a841c4876022da7fed,18,door-to-door,de,2,1,1.0,18.9,69.8,9,0,0,0,control,0,0.0,low,227.07,1,182.26,114,-0.55,-0.41,a
84,5098,64f9f403cbe1b6f341,9e3fbb565b6d6058a3,79,door-to-door,de,2,1,0.0,23.19,59.0,6,2,0,0,control,0,0.0,medium,345.47,1,124.94,142,-0.55,-0.41,a
77,29931,6f39194d3df14d057e,16de19fa0149c78620,72,referral,nl,2,0,0.0,12.38,63.1,1,0,0,1,variant_a,1,14.2,very high,187.65,0,138.87,73,-0.55,-0.38,a
78,9546,8344cdd7d8077edf2d,d5b50babbbe9ee49d3,64,dm,nl,0,2,0.0,26.0,35.3,1,0,0,0,control,0,0.0,high,260.19,1,210.75,40,-0.55,-0.38,a
89,34853,652d0eea3ab8a9afd8,3ad53bb84edce7970f,49,tv,se,0,3,1.0,28.0,60.1,12,0,0,0,control,0,0.0,medium,301.75,1,28.98,114,-0.55,-0.33,a
88,14904,25f934d475a8cfdfab,6245e10fd59c232582,62,direct mail,se,0,0,3.0,17.85,33.0,3,1,0,0,variant_a,1,10.64,low,233.03,0,219.89,61,-0.55,-0.31,a
82,10547,008a0e182c42176b09,3f6932ebe4c7f6676c,77,referral,no,0,0,1.0,19.55,64.4,10,2,0,0,control,0,0.0,medium,256.49,1,197.15,124,-0.55,-0.29,a
85,18115,8e804eaeeba2908491,c971d428c194579021,77,referral,no,2,0,2.0,14.5,50.0,13,0,0,0,variant_a,1,7.43,very high,199.44,0,209.5,105,-0.55,-0.29,a
95,10241,156b84a86601888c71,25db02e0a54bd8b8ad,54,door-to-door,se,2,0,1.0,15.14,61.0,10,0,0,3,control,0,0.0,medium,250.27,1,159.89,152,-0.5499999999999999,-0.6799999999999999,a
92,4720,ea87de84e18a339d4e,f813fdde4bf8620114,47,door-to-door,de,0,2,0.0,24.13,43.0,10,1,0,11,control,0,0.0,high,240.19,1,25.34,112,-0.5499999999999999,-0.6699999999999999,a
98,3383,20d534ef3fe79831c5,546f64b12696d326c4,70,television,gb,0,0,0.0,20.59,69.0,10,2,0,11,control,0,0.0,low,265.97,1,68.47,102,-0.5499999999999999,-0.6599999999999999,a
97,15233,5a12243d83e5d43402,356cd970aed3f40813,61,referral,no,2,0,0.0,14.75,65.0,15,0,0,3,control,0,0.0,medium,220.99,1,36.45,20,-0.5499999999999999,-0.6399999999999999,a
91,16737,d8822633894235eaf1,57b591a96df0ed2eb8,62,referral,no,2,0,1.0,19.91,54.0,12,3,0,0,control,0,0.0,medium,303.08,1,109.82,33,-0.5499999999999999,-0.6,a
93,20109,4cf7fbdf88b8e8dc6f,52741a767a43a18865,51,referral,nl,1,1,0.0,18.84,35.0,10,1,0,14,control,0,0.0,very high,212.06,1,178.26,39,-0.5499999999999999,-0.5499999999999999,a
96,27210,d6181e24bc01e4a832,b70001eead78117f84,51,door-to-door,nl,0,0,0.0,16.6,38.0,10,1,0,15,control,0,0.0,very high,173.35,1,52.94,45,-0.5499999999999999,-0.5299999999999999,a
99,28105,5e54918976bb01299a,9b90c71ab5f1c68825,61,door-to-door,no,0,0,1.0,13.1,45.2,10,0,0,0,control,0,0.0,low,170.45,1,142.65,87,-0.5499999999999999,-0.3999999999999999,a
94,20667,36c21b6db36f2c7f77,7783351c33fe786bfb,68,door-to-door,se,1,1,0.0,21.21,55.5,3,0,0,0,control,0,0.0,medium,293.49,1,161.23,97,-0.5499999999999999,-0.3299999999999999,a
103,30280,dc9dab195b7aeefb54,cbd8985be186c7293f,66,online paid,se,0,0,0.0,16.73,52.0,7,1,0,5,control,0,0.0,low,210.98,1,158.17,41,-0.54,-0.66,a
107,34138,b12d76b26667a03f5c,3a2939b50f2b79b727,75,door-to-door,nl,2,1,2.0,20.67,55.0,13,0,0,14,control,0,0.0,very high,236.34,1,197.06,123,-0.54,-0.5900000000000001,a
101,11491,1fcd3375fa870e5dd9,f39194dbf0a1a40d71,67,dm,nl,0,0,0.0,13.84,55.0,12,0,0,0,control,0,0.0,medium,171.91,1,16.44,42,-0.54,-0.59,a
112,19915,397c337a4b3bba159b,dc1460af0ed14e2b83,84,door-to-door,nl,0,0,1.0,16.93,39.1,9,0,0,15,control,0,0.0,very high,196.12,1,133.07,63,-0.54,-0.57,a
102,28100,62f2b12d492a102e75,b5a167c48dafc2e4ce,88,dm,gb,2,0,0.0,16.87,41.0,11,0,0,8,control,0,0.0,medium,265.97,1,23.56,108,-0.54,-0.56,a
109,23777,aed50f0374ebd92589,f3821246fa152bab1c,23,television,no,0,2,1.0,25.68,30.0,3,3,0,0,control,0,0.0,low,296.99,1,140.85,71,-0.54,-0.56,a
100,6966,e2cc88bcc7302f28d9,fdef10d8cba1693e90,34,dm,de,0,0,1.0,15.23,53.4,0,0,0,0,control,0,0.0,medium,178.04,1,193.38,64,-0.54,-0.52,a
105,18156,d2683ce61ec245da45,c379011ff3232e203b,36,dm,no,0,0,1.0,19.82,54.0,8,0,0,0,control,0,0.0,low,279.73,1,45.11,152,-0.54,-0.49,a
106,30224,eba9940b6dcffe49a1,d06aecc6a43ee23d12,40,door-to-door,no,0,0,1.0,12.44,57.0,4,0,0,2,control,0,0.0,very high,176.49,1,127.5,24,-0.54,-0.49,a
104,13197,361f984ff0040fbc17,abc5be762ce0f17790,29,door-to-door,gb,2,3,0.0,24.09,61.0,1,2,1,14,control,0,0.0,medium,336.49,1,196.05,67,-0.54,-0.47,a
110,26357,e73902cc3bc6c3bb05,9a6bd90455faf6000b,75,television,se,0,0,1.0,17.92,50.0,4,1,0,0,control,0,0.0,very high,182.64,1,126.04,140,-0.54,-0.29,a
111,12260,dd46d788bd5e37a543,a4d9acc5b88833e04c,56,direct mail,no,0,2,0.0,26.36,37.0,0,2,1,0,control,0,0.0,high,286.73,1,290.83,94,-0.54,-0.27,a
108,20154,8fe7117815d3484710,e235ca283588babc9a,71,door-to-door,gb,0,1,2.0,18.28,35.0,6,2,1,0,variant_a,1,11.97,low,243.72,0,211.55,99,-0.54,-0.08,a
117,13747,dabcff9ba10224b01f,f23fde3cc9a57f3e67,54,direct mail,nl,0,0,0.0,18.23,63.0,2,3,0,0,control,0,0.0,medium,235.73,1,68.49,122,-0.5399999999999999,-0.3999999999999999,a
115,5009,75764a6c5b5f3007d5,733852019f38b3bf2e,42,television,de,2,0,2.0,15.82,44.4,10,0,0,9,variant_a,1,9.29,high,195.28,0,247.47,55,-0.5399999999999999,-0.3799999999999999,a
114,31953,f1cc3b90f5460d50d5,5c161717618fbf9717,88,television,de,2,0,0.0,14.95,64.0,10,0,0,0,control,0,0.0,high,236.9,1,195.97,105,-0.5399999999999999,-0.3,a
113,29816,bbaca7efb81d47580e,097e59cc39f3414f7b,27,door-to-door,nl,0,1,2.0,18.18,66.0,0,0,0,0,variant_a,1,7.04,low,203.28,0,206.6,139,-0.5399999999999999,-0.0799999999999999,a
116,27888,2e6695f88e663001af,47985ce0b16f8242ef,46,door-to-door,de,2,2,2.0,20.78,58.0,9,1,0,0,variant_a,1,13.49,low,247.12,0,235.89,145,-0.5399999999999999,-0.0599999999999999,a
135,29847,b1f3af7a68db79361a,3c65fd005beadbb671,35,referral,no,0,2,0.0,19.45,51.3,10,0,0,14,control,0,0.0,medium,199.36,1,172.47,32,-0.53,-0.63,a
132,13486,a57e40ec230ff3f9c1,91ac0fb6fb4e0e3470,27,dm,se,2,0,0.0,17.4,43.0,14,1,0,9,control,0,0.0,medium,251.26,1,202.5,143,-0.53,-0.61,a
130,2991,2976a6e4f9f094965a,74b9cde2ac4977f25e,71,television,nl,2,1,0.0,18.94,46.2,1,0,0,4,control,0,0.0,medium,267.16,1,55.55,153,-0.53,-0.6000000000000001,a
134,4411,c9da108374dde45533,e96aa8af58f7ed917e,79,direct mail,gb,0,0,0.0,16.02,49.0,3,0,0,1,control,0,0.0,medium,161.18,1,75.45,148,-0.53,-0.6000000000000001,a
118,28457,a1a9310fb733cdd49c,937101891bd1c2b2a6,61,referral,nl,2,2,0.0,18.2,36.0,13,0,0,10,control,0,0.0,medium,217.03,1,105.3,66,-0.53,-0.5900000000000001,a
140,23275,af921d3f4ba622035a,b1f0fd7cb8f01700a9,57,dm,no,0,1,0.0,21.15,33.7,10,2,0,4,control,0,0.0,low,281.92,1,198.94,62,-0.53,-0.5900000000000001,a
129,7394,ff2fd343aadac08203,b452ee8e3ca0956d36,86,door-to-door,de,2,0,0.0,16.58,47.0,10,0,0,14,control,0,0.0,very high,187.37,1,95.52,89,-0.53,-0.59,a
138,3677,831018fbdda35bd2f3,a866f39ff7ad68f4ae,40,tv,se,0,1,0.0,23.5,64.0,10,1,1,1,control,0,0.0,high,291.6,1,24.7,141,-0.53,-0.57,a
128,23638,08c7bab8988c8f289a,e85a400c63e57be85d,70,dm,nl,2,2,0.0,21.21,45.0,10,1,0,0,control,0,0.0,medium,286.64,1,26.5,56,-0.53,-0.52,a
131,5756,251ea3991fd165bfd2,46de5169fd947017e2,73,television,nl,0,1,1.0,22.87,38.0,8,0,1,0,control,0,0.0,high,291.57,1,21.6,94,-0.53,-0.4999999999999999,a
121,18626,d9c6328c1655b9d1a7,879e40d291f3e67d48,67,door-to-door,nl,2,1,2.0,16.84,67.7,3,0,0,0,control,0,0.0,low,262.78,1,224.66,50,-0.53,-0.49,a
139,12381,36fb74b3b004c91fed,f6bc0c1f58763f1335,61,television,de,0,1,0.0,16.98,69.0,10,1,0,0,control,0,0.0,medium,233.94,1,20.35,71,-0.53,-0.47,a
119,12712,7633308f3b2990f845,eb5c5f8cd5381c4059,58,television,gb,2,0,1.0,17.72,30.0,4,0,0,14,control,0,0.0,high,235.24,1,246.04,118,-0.53,-0.45,a
123,26422,d741ff8c24fe26717e,fa1479a3062038290e,45,referral,nl,0,0,1.0,19.42,40.0,5,0,0,0,control,0,0.0,medium,279.32,1,135.92,160,-0.53,-0.44,a
126,20696,12fe0da8cf48c75fb1,447341483cd58b49f6,21,television,gb,0,2,0.0,20.18,36.5,12,1,0,0,control,0,0.0,very high,197.88,1,181.77,87,-0.53,-0.44,a
